"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 31 13:27:05 IST 2020","Tue Mar 31 13:27:17 IST 2020","11823","tests.home","login_tests","LoginTests","","","test_validLogin",""
"passed","Tue Mar 31 13:26:53 IST 2020","Tue Mar 31 13:27:05 IST 2020","11831","tests.home","login_tests","LoginTests","","","test_loginFailed",""
